,number,price,currency
693,8326,0.285,ETH
694,5876,18.038,WETH
695,8329,2.0,WETH
696,3520,6.1,ETH
697,3271,69.69,ETH
698,5092,3.0,ETH
699,6957,0.39,ETH
700,6041,0.49,ETH
701,7696,0.02,ETH
702,6705,2.0,ETH
703,2651,3.25,ETH
704,4595,2.0,WETH
705,7132,1.79,ETH
706,559,3.69,ETH
707,6250,0.005,ETH
708,6749,3.5,ETH
709,5498,1.8,WETH
710,6298,9.39,WETH
711,349,0.06,ETH
712,4088,2.75,ETH
713,9290,1.2,ETH
714,2181,1.4,WETH
715,5331,0.1,ETH
716,8649,2.9,ETH
717,1515,3.9,ETH
718,7987,2.0,WETH
719,3075,14.44,ETH
720,5977,7.9,ETH
721,9166,0.02,ETH
722,5958,6.0,WETH
723,9048,9.69,ETH
724,1478,2.65,ETH
725,6824,0.19,ETH
726,1750,20.0,ETH
727,2316,12.9,ETH
728,6184,16.5,WETH
729,3931,12.0,WETH
730,7626,20.5,ETH
731,4960,4.5,ETH
732,5449,1.79,ETH
733,9801,3.6,ETH
734,5651,5.0,ETH
735,8497,4.0,ETH
736,8575,10.5,ETH
737,3776,17.87,ETH
738,2971,6.9,ETH
739,5229,1.25,ETH
740,833,5.0,ETH
741,6485,0.005,ETH
742,4716,1.99,ETH
743,5962,5.0,ETH
744,8999,0.35,ETH
745,3527,15.0,ETH
746,3869,9.45,ETH
747,6778,8.0,WETH
748,26,2.5,ETH
749,2179,9.69,ETH
750,8655,14.5,ETH
751,9502,0.2,ETH
752,1146,15.5,ETH
753,1559,15.0,ETH
754,856,1.15,ETH
755,9770,10.8888,ETH
756,1488,8.7,ETH
757,3539,5.49,ETH
758,60,1.05,ETH
759,2172,0.25,ETH
760,84,1.25,ETH
761,9326,26.0,ETH
762,5174,10.0,ETH
763,2071,17.5,ETH
764,1403,7.5,ETH
765,8995,1.8,WETH
766,5748,17.0,ETH
767,42,0.5,ETH
768,9158,18.88,ETH
769,1818,0.02,ETH
770,6455,23.0,ETH
771,3829,1.66,ETH
772,6278,15.0,ETH
773,5366,1.2,ETH
774,4547,18.48,ETH
775,2191,1.15,WETH
776,7791,0.02,ETH
777,7956,7.0,ETH
778,8874,0.1,WETH
779,8907,10.9,ETH
780,4849,15.0,ETH
781,3510,16.0,ETH
782,953,2.25,ETH
783,804,0.005,ETH
784,8086,12.0,ETH
785,2722,9.0,ETH
786,5849,2.0,ETH
787,7533,15.0,ETH
788,2115,9.0,ETH
789,8035,1.5,ETH
790,4619,2.498,ETH
791,266,1.99,ETH
792,3479,2.0,ETH
793,9784,0.075,ETH
794,3612,12.75,ETH
795,9643,1.8,ETH
796,6871,1.24,WETH
797,4636,10.0,ETH
798,6713,0.075,ETH
799,522,9.0725,WETH
800,6457,0.14,ETH
801,8415,2.2,ETH
802,4987,20.0,ETH
803,6647,7.2,ETH
804,3618,3.0,ETH
805,4931,18.0,ETH
806,564,8.8888,WETH
807,1927,42.69,ETH
808,7529,0.02,ETH
809,6701,0.888,ETH
810,2271,0.2,ETH
811,2114,9.3113,WETH
812,1792,0.12,ETH
813,2340,3.89,ETH
814,1098,13.3,ETH
