,cat_number,rank,face,face-score,shirt,shirt-score,body,tier,tier-score,hats,hats-score,total
4813,4814,8768,happy,6.7,tshirt pink,3.9,blue cat skin,cool_1,1.2,mohawk green,3.3,15.1
4814,4815,3053,sunglasses cowboy,7.3,tanktop tattoo,34.9,blue cat skin,wild_1,1.9,ninja red,74.0,118.0
4815,4816,4755,uwu,5.0,shirt yellow,4.4,blue cat skin,wild_1,1.9,cowboy black,66.7,78.0
4816,4817,8094,ninja red,5.8,bandana purple,3.0,blue cat skin,cool_1,1.2,flower pink,8.4,18.3
4817,4818,5209,angry,3.5,hoodie purple,6.4,blue cat skin,cool_2,5,unicorn horn,56.6,66.5
4818,4819,4953,derp,3.5,tanktop pink,5.9,blue cat skin,cool_2,5,hat black,61.4,70.8
4819,4820,6985,grin,5.4,baseball blue,38.9,blue cat skin,cool_2,5,hat white,5,44.3
4820,4821,2209,glossy,9.6,toga,41.8,blue cat skin,wild_2,4.2,astro,95.3,150.9
4821,4822,691,ninja black,7.5,deepsea bronze,118.3,blue cat skin,classy_2,9.4,top hat,88.4,223.7
4822,4823,7250,wink,7.7,tanktop orange,7.7,blue cat skin,cool_1,1.2,beanie red,7.9,24.5
4823,4824,2702,ninja blue,4.5,nurse,115.7,blue cat skin,wild_1,1.9,beret red,9.3,131.3
4824,4825,7574,zombie,1.1,shirt white,10.6,blue cat skin,cool_2,5,wreath,9.5,21.3
4826,4827,6708,smirk,6.3,tanktop sailor black,42.6,blue cat skin,cool_2,5,hat white,5,48.9
4827,4828,9143,face face,9.1,buttondown black flannel,3.0,blue cat skin,cool_1,1.2,hat white,5,13.3
4828,4829,1850,happy,6.7,robe white,46.6,blue cat skin,classy_1,6.2,visor purple,107.2,166.6
4829,4830,3370,hearts,4.2,winter blue,46.6,blue cat skin,wild_1,1.9,helm army,54.8,107.4
4831,4832,396,grin,5.4,gown white,95.4,blue cat skin,classy_2,9.4,deepsea bronze,145.0,255.3
4832,4833,1888,tired,5.9,sweater green chain,86.2,blue cat skin,classy_1,6.2,cowboy black,66.7,165.0
4834,4835,9766,sunglasses blue,3.2,tshirt yellow,4.4,blue cat skin,cool_1,1.2,hat white,5,8.7
4835,4836,4008,beard pirate,0.8,sweater green chain,86.2,blue cat skin,wild_2,4.2,mohawk purple,5.6,96.8
4836,4837,402,happy,6.7,gown black,123.9,blue cat skin,exotic_1,16.0,visor purple,107.2,253.7
4837,4838,1262,sunglasses heart,3.0,sweater green chain,86.2,blue cat skin,classy_2,9.4,halo,90.1,188.7
4838,4839,9609,rich,3.6,work red,3.4,blue cat skin,cool_2,5,mohawk green,3.3,10.4
4839,4840,5458,sunglasses cowboy,7.3,bandana red,0.6,blue cat skin,cool_2,5,bucket hat white,54.8,62.7
4840,4841,351,unamused,2.0,costume dragon,126.8,blue cat skin,exotic_1,16.0,admiral pink,118.8,263.6
4841,4842,5904,shocked,7.5,robe red,5.1,blue cat skin,cool_2,5,mohawk red,44.5,57.1
4842,4843,2603,happy,6.7,work blue,5.1,blue cat skin,wild_2,4.2,crown gold,118.8,134.7
4843,4844,6591,beard brown,5.4,bandana purple,3.0,blue cat skin,cool_2,5,sunhat tan,41.8,50.2
4844,4845,8424,grin,5.4,hoodie purple,6.4,blue cat skin,cool_1,1.2,bucket hat tan,3.7,16.6
4845,4846,5383,sunglasses yellow,8.5,buttondown tan,8.6,blue cat skin,cool_2,5,beret black,46.7,63.8
4846,4847,864,smirk,6.3,tshirt white,53.8,blue cat skin,classy_1,6.2,deepsea bronze,145.0,211.3
4847,4848,5547,hearts,4.2,work red,3.4,blue cat skin,cool_2,5,sunhat black,53.9,61.5
4848,4849,1101,glossy,9.6,gown black,123.9,blue cat skin,classy_1,6.2,afro black,57.5,197.1
4849,4850,2347,mummy,0.7,hoodie red,79.7,blue cat skin,classy_1,6.2,mullet brown,57.5,144.0
4850,4851,7547,ninja blue,4.5,buttondown black flannel,3.0,blue cat skin,cool_1,1.2,beanie orange,12.8,21.4
4851,4852,7484,dizzy,4.8,tshirt green,7.7,blue cat skin,cool_1,1.2,piercings,8.1,21.9
4852,4853,78,tvface xp,331.0,gown purple,86.2,blue cat skin,classy_2,9.4,tvhead grey,76.6,503.2
4853,4854,9856,angry cute,2.4,overalls blue,0,blue cat skin,cool_1,1.2,mohawk green,3.3,6.8
4855,4856,6187,shocked,7.5,tshirt metal,41.1,blue cat skin,cool_2,5,mohawk purple,5.6,54.2
4856,4857,2461,ninja red,5.8,work red,3.4,blue cat skin,wild_2,4.2,crown fire,126.6,140.0
4857,4858,2677,glasses funny,4.2,labcoat,38.2,blue cat skin,classy_1,6.2,pirate black,83.7,132.3
4858,4859,5624,glasses,4.8,baseball red,47.4,blue cat skin,cool_2,5,piercings,8.1,60.4
4859,4860,4342,ninja black,7.5,lederhosen,75.2,blue cat skin,wild_1,1.9,candle,5.6,90.1
4860,4861,820,sunglasses heart,3.0,knight,87.9,blue cat skin,classy_2,9.4,helm silver,113.9,214.3
